IDENTIFIERS,,PROCESS OUTPUTS,,,,,,,,,,,OPERATIONAL INPUTS,,,,,,,REAGENT INTELLIGENCE,,,,ENGINEERED FEATURES,,,,,,,CATEGORICAL,,,,,METADATA
Date,Shift,Ore Milled (MT),Head Grade (%Cu),COPPER IN HEAD (MT),Concentrate Grade (%Cu),Concentrate Production (MT),COPPER IN CONCENTRATE (MT),Tails Grade (%Cu),TAILINGS (MT),Recovery (%),Insoluble in Concentrate (%),COPPER IN TAILINGS (MT),Feed Rate (MT/h),Grinding kWh,Lime Bags,T Reagent (cc),Pine Oil (cc),Flotation pH,Milling Running Hours,SIPX Dose (g/t),Frother Dose (g/t),Depressant Dose (g/t),Conc. Mass Pull (%),Prev_Recovery (%),Prev_Feed Rate (MT/h),Prev_Head Grade (%Cu),Prev_Flotation pH,Roll7_Recovery (%),Roll7_Head Grade (%Cu),Roll7_Feed Rate (MT/h),Estimated Feed Condition,Feed_Condition_Num,Shift_Num,Month,Day_of_Week,Source
04/10/2024,B,1991.0,1.016,20.24,30.1,59.965,18.034,0.114,1931.224,89.1,6.61,2.206,244.04,750.501,12,1200,12,9.39,8,80.0,28.5,69.9,3.01,90.74,232.5,1.075,9.74,89.776,1.045,247.091,Hard,0,1,10,4,Target R2 synthetic data - leakage-free process relationship
04/10/2024,C,1899.0,1.063,20.198,28.9,62.736,18.132,0.113,1836.588,89.77,6.36,2.066,231.43,724.615,11,1200,10,9.66,8,79.3,25.1,67.0,3.3,89.1,244.04,1.016,9.39,89.628,1.041,245.119,Normal,1,2,10,4,Target R2 synthetic data - leakage-free process relationship
05/10/2024,A,1997.0,1.065,21.279,29.9,64.025,19.172,0.109,1933.148,90.1,6.53,2.107,255.62,720.488,10,1200,11,9.47,8,82.9,24.1,66.8,3.21,89.77,231.43,1.063,9.66,89.713,1.044,244.217,Normal,1,0,10,5,Target R2 synthetic data - leakage-free process relationship
05/10/2024,B,1951.0,1.021,19.924,29.6,60.131,17.793,0.113,1890.892,89.3,7.08,2.131,245.25,735.004,12,1200,11,9.51,8,78.8,27.2,65.1,3.08,90.1,255.62,1.065,9.47,89.974,1.052,246.76,Hard,0,1,10,5,Target R2 synthetic data - leakage-free process relationship
05/10/2024,C,2001.0,1.09,21.823,29.3,66.519,19.516,0.119,1934.961,89.43,5.99,2.307,285.51,723.516,11,1200,11,9.46,7,79.0,23.7,70.4,3.32,89.3,245.25,1.021,9.51,89.921,1.046,243.515,Normal,1,2,10,5,Target R2 synthetic data - leakage-free process relationship
06/10/2024,A,1901.0,1.049,19.938,29.8,60.002,17.867,0.113,1841.317,89.61,6.9,2.072,243.6,745.608,11,1200,10,9.55,8,82.6,27.1,69.0,3.16,89.43,285.51,1.09,9.46,89.91,1.055,249.557,Hard,0,0,10,6,Target R2 synthetic data - leakage-free process relationship
06/10/2024,B,1908.0,1.095,20.896,30.2,60.847,18.402,0.135,1847.148,88.07,7.22,2.494,236.7,735.927,12,1200,11,9.32,8,76.8,30.6,68.6,3.19,89.61,243.6,1.049,9.55,89.722,1.054,248.278,Hard,0,1,10,6,Target R2 synthetic data - leakage-free process relationship
06/10/2024,C,1795.0,1.108,19.895,30.0,59.687,17.911,0.114,1735.1,90.03,6.41,1.984,226.47,720.178,11,1200,9,9.63,8,78.8,26.1,63.7,3.33,88.07,236.7,1.095,9.32,89.339,1.057,248.879,Normal,1,2,10,6,Target R2 synthetic data - leakage-free process relationship
07/10/2024,A,1927.0,1.079,20.789,29.8,63.766,19.023,0.095,1863.242,91.5,6.26,1.766,244.4,717.376,11,1200,10,9.66,8,75.8,22.7,65.7,3.31,90.03,226.47,1.108,9.63,89.472,1.07,246.369,Soft,2,0,10,0,Target R2 synthetic data - leakage-free process relationship
07/10/2024,B,1834.0,1.043,19.139,29.6,58.453,17.288,0.104,1775.817,90.33,6.6,1.851,262.36,737.406,11,1200,11,9.47,7,81.5,27.4,67.1,3.19,91.5,244.4,1.079,9.66,89.72,1.073,248.221,Hard,0,1,10,0,Target R2 synthetic data - leakage-free process relationship
07/10/2024,C,1686.0,1.028,17.322,29.7,52.12,15.499,0.112,1633.551,89.48,6.42,1.823,250.48,750.179,11,1200,12,9.51,7,78.1,28.5,67.2,3.09,90.33,262.36,1.043,9.47,89.753,1.069,249.185,Hard,0,2,10,0,Target R2 synthetic data - leakage-free process relationship
08/10/2024,A,1840.0,1.047,19.266,30.0,57.267,17.163,0.118,1783.076,89.08,6.51,2.103,236.32,744.274,10,1200,12,9.54,8,81.4,28.3,67.8,3.11,89.48,250.48,1.028,9.51,89.778,1.07,249.931,Hard,0,0,10,1,Target R2 synthetic data - leakage-free process relationship
08/10/2024,B,1819.0,1.044,18.988,29.7,57.771,17.14,0.105,1761.563,90.27,7.15,1.848,230.21,729.695,11,1200,11,9.58,8,79.5,25.1,64.7,3.18,89.08,236.32,1.047,9.54,89.729,1.064,242.904,Normal,1,1,10,1,Target R2 synthetic data - leakage-free process relationship
08/10/2024,C,1785.0,1.106,19.744,29.4,60.7,17.848,0.11,1723.848,90.4,6.09,1.895,245.72,719.31,11,1200,11,9.48,7,75.0,25.8,65.1,3.4,90.27,230.21,1.044,9.58,89.823,1.063,240.992,Normal,1,2,10,1,Target R2 synthetic data - leakage-free process relationship
09/10/2024,A,1818.0,1.059,19.255,30.1,58.31,17.54,0.098,1759.397,91.09,6.33,1.716,228.4,728.648,10,1200,10,9.53,8,78.6,24.1,61.5,3.21,90.4,245.72,1.106,9.48,90.156,1.065,242.28,Normal,1,0,10,2,Target R2 synthetic data - leakage-free process relationship
09/10/2024,B,1689.0,1.109,18.74,29.5,57.676,17.035,0.104,1631.765,90.91,6.64,1.704,203.14,721.731,12,1200,9,9.49,8,82.9,25.3,65.1,3.41,91.09,228.4,1.059,9.53,90.308,1.058,242.555,Normal,1,1,10,2,Target R2 synthetic data - leakage-free process relationship
09/10/2024,C,1809.0,1.054,19.07,30.1,57.612,17.315,0.1,1750.954,90.8,5.86,1.755,218.29,712.167,10,1200,11,9.67,8,70.5,26.2,66.5,3.19,90.91,203.14,1.109,9.49,90.222,1.062,236.661,Soft,2,2,10,2,Target R2 synthetic data - leakage-free process relationship
10/10/2024,A,1807.0,1.051,18.986,29.5,58.876,17.35,0.094,1748.228,91.38,6.55,1.636,233.82,716.552,11,1200,10,9.49,8,70.5,24.6,64.7,3.26,90.8,218.29,1.054,9.67,90.289,1.064,230.366,Soft,2,0,10,3,Target R2 synthetic data - leakage-free process relationship
10/10/2024,B,1840.0,1.073,19.744,29.4,60.963,17.906,0.103,1778.82,90.69,6.57,1.838,255.06,722.511,11,1200,9,9.78,7,79.3,26.4,60.4,3.31,91.38,233.82,1.051,9.49,90.561,1.067,227.986,Normal,1,1,10,3,Target R2 synthetic data - leakage-free process relationship
10/10/2024,C,1752.0,1.082,18.965,29.8,57.024,16.997,0.116,1695.191,89.62,7.12,1.968,248.9,740.258,12,1200,12,9.39,7,80.2,26.4,69.4,3.25,90.69,255.06,1.073,9.78,90.791,1.071,230.663,Hard,0,2,10,3,Target R2 synthetic data - leakage-free process relationship
11/10/2024,A,1940.0,1.01,19.595,29.9,59.851,17.925,0.089,1880.2,91.48,6.39,1.669,240.75,705.58,11,1200,10,9.61,8,73.7,23.9,63.0,3.09,89.62,248.9,1.082,9.39,90.698,1.076,233.332,Soft,2,0,10,4,Target R2 synthetic data - leakage-free process relationship
11/10/2024,B,1863.0,1.047,19.494,29.5,60.079,17.729,0.098,1802.742,90.95,6.72,1.765,208.79,727.395,11,1200,10,9.74,9,78.9,25.2,65.7,3.23,91.48,240.75,1.01,9.61,90.852,1.063,232.622,Normal,1,1,10,4,Target R2 synthetic data - leakage-free process relationship
11/10/2024,C,1849.0,1.034,19.123,30.0,57.22,17.166,0.109,1792.158,89.77,6.97,1.956,235.51,742.541,10,1200,11,9.5,8,82.9,28.7,69.2,3.09,90.95,208.79,1.047,9.74,90.832,1.061,229.821,Hard,0,2,10,4,Target R2 synthetic data - leakage-free process relationship
12/10/2024,A,1830.0,1.018,18.621,30.4,54.956,16.688,0.109,1774.843,89.62,7.05,1.933,231.89,742.461,11,1200,11,9.73,8,82.6,27.0,68.9,3.0,89.77,235.51,1.034,9.5,90.67,1.05,234.444,Hard,0,0,10,5,Target R2 synthetic data - leakage-free process relationship
12/10/2024,B,2005.0,1.082,21.688,30.0,65.095,19.551,0.11,1939.464,90.15,6.36,2.137,283.29,722.591,10,1200,12,9.66,7,82.9,23.9,65.3,3.25,89.62,231.89,1.018,9.73,90.502,1.045,236.386,Normal,1,1,10,5,Target R2 synthetic data - leakage-free process relationship
12/10/2024,C,1888.0,0.991,18.708,30.0,55.816,16.719,0.109,1832.112,89.37,7.04,1.99,242.0,747.587,11,1200,12,9.5,8,83.8,28.6,68.6,2.96,90.15,283.29,1.082,9.66,90.325,1.049,243.454,Hard,0,2,10,5,Target R2 synthetic data - leakage-free process relationship
13/10/2024,A,1971.0,1.077,21.224,29.6,65.639,19.433,0.094,1904.982,91.56,6.44,1.791,252.23,722.892,11,1200,10,9.68,8,75.3,24.7,62.7,3.33,89.37,242.0,0.991,9.5,90.136,1.038,241.587,Soft,2,0,10,6,Target R2 synthetic data - leakage-free process relationship
13/10/2024,B,2002.0,1.091,21.831,29.2,68.611,20.019,0.094,1932.901,91.7,6.2,1.812,278.99,711.082,12,1200,11,9.68,7,75.1,24.1,64.4,3.43,91.56,252.23,1.077,9.68,90.413,1.037,242.064,Soft,2,1,10,6,Target R2 synthetic data - leakage-free process relationship
13/10/2024,C,1990.0,1.054,20.982,30.3,62.614,18.993,0.103,1927.594,90.52,6.34,1.988,241.41,728.039,13,1200,11,9.38,8,78.5,26.0,63.8,3.15,91.7,278.99,1.091,9.68,90.444,1.048,247.528,Normal,1,2,10,6,Target R2 synthetic data - leakage-free process relationship
14/10/2024,A,1954.0,1.059,20.703,29.8,63.046,18.775,0.102,1891.166,90.69,7.16,1.928,247.0,718.366,11,1200,11,9.45,8,77.1,27.6,65.0,3.23,90.52,241.41,1.054,9.38,90.384,1.049,252.187,Normal,1,0,10,0,Target R2 synthetic data - leakage-free process relationship
14/10/2024,B,1982.0,1.12,22.208,29.7,68.669,20.366,0.096,1913.49,91.7,7.07,1.843,245.19,711.807,11,1200,10,9.5,8,75.9,24.8,65.1,3.46,90.69,247.0,1.059,9.45,90.515,1.053,253.829,Soft,2,1,10,0,Target R2 synthetic data - leakage-free process relationship
14/10/2024,C,2018.0,1.011,20.401,29.9,61.504,18.385,0.103,1956.026,90.11,6.15,2.017,282.65,720.583,10,1200,11,9.83,7,75.2,24.7,62.2,3.05,91.7,245.19,1.12,9.5,90.813,1.068,255.73,Normal,1,2,10,0,Target R2 synthetic data - leakage-free process relationship
15/10/2024,A,1950.0,1.109,21.63,30.4,63.778,19.382,0.119,1885.786,89.61,5.81,2.248,281.69,718.366,12,1200,10,9.34,7,83.2,23.2,64.9,3.27,90.11,282.65,1.011,9.83,90.808,1.058,255.638,Normal,1,0,10,1,Target R2 synthetic data - leakage-free process relationship
15/10/2024,B,1999.0,1.055,21.091,30.1,63.907,19.252,0.095,1934.79,91.28,6.17,1.839,250.66,704.496,11,1200,10,9.59,8,77.3,24.7,61.5,3.2,89.61,281.69,1.109,9.34,90.843,1.075,261.308,Soft,2,1,10,1,Target R2 synthetic data - leakage-free process relationship
15/10/2024,C,1945.0,1.038,20.192,29.9,60.737,18.154,0.108,1884.514,89.91,7.1,2.037,235.24,741.671,11,1200,10,9.42,8,83.1,25.3,70.6,3.12,91.28,250.66,1.055,9.59,90.803,1.072,261.084,Hard,0,2,10,1,Target R2 synthetic data - leakage-free process relationship
16/10/2024,A,1983.0,1.06,21.025,29.6,64.351,19.062,0.102,1918.796,90.67,6.65,1.962,238.27,722.917,11,1200,11,9.63,8,80.4,26.7,61.4,3.24,89.91,235.24,1.038,9.42,90.547,1.064,254.834,Normal,1,0,10,2,Target R2 synthetic data - leakage-free process relationship
16/10/2024,B,1935.0,1.054,20.391,29.9,61.143,18.265,0.113,1874.294,89.57,7.56,2.126,233.9,741.743,10,1200,12,9.55,8,90.1,28.1,69.2,3.16,90.67,238.27,1.06,9.63,90.567,1.065,254.386,Hard,0,1,10,2,Target R2 synthetic data - leakage-free process relationship
16/10/2024,C,1816.0,1.088,19.757,29.3,60.997,17.869,0.108,1754.529,90.45,6.8,1.887,223.96,723.432,11,1200,11,9.6,8,77.7,25.8,69.0,3.36,89.57,233.9,1.054,9.55,90.408,1.064,252.514,Normal,1,2,10,2,Target R2 synthetic data - leakage-free process relationship
17/10/2024,A,1847.0,1.088,20.098,30.5,59.624,18.194,0.107,1786.943,90.53,6.69,1.904,236.38,716.264,11,1200,10,9.38,8,78.4,23.2,66.5,3.23,90.45,223.96,1.088,9.6,90.228,1.059,249.481,Normal,1,0,10,3,Target R2 synthetic data - leakage-free process relationship
17/10/2024,B,1874.0,1.076,20.176,30.3,59.536,18.067,0.116,1814.857,89.54,6.6,2.109,244.43,740.617,12,1200,11,9.41,8,81.3,27.7,69.1,3.18,90.53,236.38,1.088,9.38,90.287,1.07,242.872,Hard,0,1,10,3,Target R2 synthetic data - leakage-free process relationship
17/10/2024,C,1885.0,1.103,20.789,29.6,63.463,18.805,0.109,1821.417,90.46,6.44,1.983,246.95,715.26,10,1200,10,9.78,8,74.6,25.0,60.8,3.37,89.54,244.43,1.076,9.41,90.278,1.066,237.55,Soft,2,2,10,3,Target R2 synthetic data - leakage-free process relationship
18/10/2024,A,1846.0,1.035,19.112,29.9,57.778,17.301,0.101,1788.049,90.52,6.49,1.812,234.24,710.721,11,1200,9,9.64,8,76.4,23.9,59.8,3.13,90.46,246.95,1.103,9.78,90.161,1.073,237.02,Normal,1,0,10,4,Target R2 synthetic data - leakage-free process relationship
18/10/2024,B,1881.0,1.147,21.563,29.6,66.792,19.77,0.099,1813.821,91.68,6.75,1.794,237.44,711.771,11,1200,10,9.49,8,76.3,24.2,65.3,3.55,90.52,234.24,1.035,9.64,90.249,1.072,236.877,Soft,2,1,10,4,Target R2 synthetic data - leakage-free process relationship
18/10/2024,C,1888.0,1.112,20.991,29.4,65.417,19.208,0.098,1822.268,91.51,6.45,1.782,271.94,708.411,11,1200,11,9.72,7,78.9,25.4,63.9,3.47,91.68,237.44,1.147,9.49,90.394,1.085,236.758,Soft,2,2,10,4,Target R2 synthetic data - leakage-free process relationship
19/10/2024,A,1682.0,1.084,18.228,29.5,56.035,16.541,0.104,1626.22,90.74,6.77,1.687,233.69,736.505,11,1200,10,9.55,7,80.7,27.4,66.5,3.33,91.51,271.94,1.112,9.72,90.67,1.093,242.193,Hard,0,0,10,5,Target R2 synthetic data - leakage-free process relationship
19/10/2024,B,1798.0,1.09,19.599,29.8,59.589,17.759,0.106,1738.728,90.61,6.11,1.84,227.55,728.231,10,1200,10,9.59,8,85.4,24.6,65.5,3.31,90.74,233.69,1.084,9.55,90.713,1.092,243.582,Normal,1,1,10,5,Target R2 synthetic data - leakage-free process relationship
19/10/2024,C,1750.0,1.133,19.825,29.5,61.242,18.046,0.105,1688.556,91.03,6.08,1.779,254.21,711.925,11,1200,11,9.6,7,83.5,26.5,66.0,3.5,90.61,227.55,1.09,9.59,90.725,1.092,242.32,Soft,2,2,10,5,Target R2 synthetic data - leakage-free process relationship
20/10/2024,A,1713.0,1.127,19.298,30.3,57.989,17.584,0.104,1654.596,91.12,6.66,1.714,220.22,726.115,10,1200,11,9.58,8,81.3,26.2,61.4,3.39,91.03,254.21,1.133,9.6,90.937,1.1,243.717,Normal,1,0,10,6,Target R2 synthetic data - leakage-free process relationship
20/10/2024,B,1841.0,1.103,20.312,30.0,62.301,18.682,0.092,1778.449,91.98,6.32,1.63,222.5,710.082,11,1200,9,9.56,8,79.1,24.8,68.0,3.38,91.12,220.22,1.127,9.58,91.031,1.104,239.898,Soft,2,1,10,6,Target R2 synthetic data - leakage-free process relationship
20/10/2024,C,1778.0,1.094,19.455,29.6,59.223,17.537,0.112,1718.346,90.14,7.24,1.918,261.97,736.256,12,1200,11,9.4,7,83.9,25.8,67.0,3.33,91.98,222.5,1.103,9.56,91.238,1.114,238.22,Hard,0,2,10,6,Target R2 synthetic data - leakage-free process relationship
21/10/2024,A,1796.0,1.086,19.51,29.6,59.509,17.621,0.109,1736.793,90.32,5.89,1.889,234.24,730.961,11,1200,10,9.48,8,82.3,22.0,59.8,3.31,90.14,261.97,1.094,9.4,91.018,1.106,241.724,Normal,1,0,10,0,Target R2 synthetic data - leakage-free process relationship
21/10/2024,B,1748.0,1.04,18.182,29.8,55.661,16.568,0.095,1692.397,91.12,6.21,1.614,246.71,728.586,10,1200,12,9.54,7,77.4,24.8,64.3,3.18,90.32,234.24,1.086,9.48,90.848,1.102,236.34,Normal,1,1,10,0,Target R2 synthetic data - leakage-free process relationship
21/10/2024,C,1861.0,1.119,20.821,30.0,63.155,18.947,0.104,1798.219,91.0,6.35,1.874,237.45,728.396,12,1200,11,9.68,8,77.6,26.4,66.2,3.39,91.12,246.71,1.04,9.54,90.902,1.096,238.2,Normal,1,2,10,0,Target R2 synthetic data - leakage-free process relationship
22/10/2024,A,1791.0,1.095,19.611,29.8,59.838,17.845,0.102,1731.028,90.99,6.33,1.766,259.74,728.506,11,1200,11,9.47,7,75.3,26.4,61.0,3.34,91.0,237.45,1.119,9.68,90.958,1.1,239.615,Normal,1,0,10,1,Target R2 synthetic data - leakage-free process relationship
22/10/2024,B,1837.0,1.079,19.812,29.8,60.576,18.069,0.098,1776.242,91.2,6.27,1.744,220.96,728.25,11,1200,11,9.51,8,79.1,24.6,62.2,3.3,90.99,259.74,1.095,9.47,90.953,1.095,240.405,Normal,1,1,10,1,Target R2 synthetic data - leakage-free process relationship
22/10/2024,C,1779.0,0.989,17.598,29.8,53.096,15.812,0.103,1726.093,89.85,6.8,1.786,219.87,748.314,10,1200,12,9.51,8,84.4,26.1,70.4,2.98,91.2,220.96,1.079,9.51,90.964,1.088,240.51,Hard,0,2,10,1,Target R2 synthetic data - leakage-free process relationship
23/10/2024,A,1912.0,1.081,20.667,29.5,63.136,18.64,0.11,1848.477,90.19,6.53,2.027,280.81,716.214,11,1200,10,9.86,7,73.0,22.2,64.5,3.3,89.85,219.87,0.989,9.51,90.66,1.072,240.134,Soft,2,0,10,2,Target R2 synthetic data - leakage-free process relationship
23/10/2024,B,1940.0,1.152,22.342,30.1,67.847,20.395,0.104,1871.764,91.28,6.03,1.948,237.85,708.001,11,1200,11,9.48,8,79.9,25.1,65.4,3.5,90.19,280.81,1.081,9.86,90.667,1.07,242.827,Soft,2,1,10,2,Target R2 synthetic data - leakage-free process relationship
23/10/2024,C,1890.0,1.028,19.433,29.9,59.661,17.864,0.086,1830.61,91.93,6.31,1.569,239.87,711.513,11,1200,12,9.5,8,76.9,25.2,63.3,3.16,91.28,237.85,1.152,9.48,90.805,1.079,243.342,Soft,2,2,10,2,Target R2 synthetic data - leakage-free process relationship
24/10/2024,A,1975.0,1.102,21.776,29.9,67.042,20.052,0.09,1908.204,92.08,6.23,1.725,252.05,721.556,11,1200,10,9.55,8,75.5,25.5,62.2,3.39,91.93,239.87,1.028,9.5,90.92,1.077,242.365,Soft,2,0,10,3,Target R2 synthetic data - leakage-free process relationship
24/10/2024,B,1969.0,1.065,20.968,29.6,64.763,19.199,0.093,1903.896,91.56,6.46,1.77,248.54,727.091,11,1200,9,9.7,8,79.5,22.6,65.1,3.29,92.08,252.05,1.102,9.55,91.074,1.075,244.451,Normal,1,1,10,3,Target R2 synthetic data - leakage-free process relationship
24/10/2024,C,1993.0,1.092,21.774,30.3,65.299,19.777,0.104,1928.098,90.83,6.17,1.997,246.51,731.363,11,1200,10,9.48,8,74.0,24.1,64.1,3.28,91.56,248.54,1.065,9.7,91.155,1.071,242.852,Normal,1,2,10,3,Target R2 synthetic data - leakage-free process relationship
25/10/2024,A,1999.0,1.11,22.197,29.6,68.263,20.195,0.104,1931.228,90.98,6.87,2.002,249.68,720.247,12,1200,12,9.44,8,79.7,27.6,65.8,3.41,90.83,246.51,1.092,9.48,91.102,1.073,246.502,Normal,1,0,10,4,Target R2 synthetic data - leakage-free process relationship
25/10/2024,B,1987.0,1.05,20.86,29.6,63.244,18.75,0.11,1923.558,89.88,6.83,2.111,254.52,753.661,12,1200,10,9.54,8,78.1,26.0,65.0,3.18,90.98,249.68,1.11,9.44,91.263,1.09,250.761,Hard,0,1,10,4,Target R2 synthetic data - leakage-free process relationship
25/10/2024,C,1983.0,1.171,23.225,29.1,72.588,21.145,0.109,1910.247,91.05,6.75,2.079,280.88,714.298,10,1200,11,9.74,7,81.1,23.9,66.2,3.66,89.88,254.52,1.05,9.54,91.219,1.086,247.005,Soft,2,2,10,4,Target R2 synthetic data - leakage-free process relationship
26/10/2024,A,1952.0,1.093,21.331,29.8,65.306,19.49,0.098,1886.233,91.37,6.46,1.84,244.75,717.345,12,1200,11,9.59,8,81.3,25.9,68.3,3.35,91.05,280.88,1.171,9.74,91.186,1.088,253.152,Normal,1,0,10,5,Target R2 synthetic data - leakage-free process relationship
26/10/2024,B,2021.0,1.061,21.451,30.7,63.68,19.552,0.097,1957.224,91.15,5.8,1.899,291.84,729.685,11,1200,10,9.54,7,81.5,24.6,67.0,3.15,91.37,244.75,1.093,9.59,91.107,1.098,253.849,Normal,1,1,10,5,Target R2 synthetic data - leakage-free process relationship
26/10/2024,C,1951.0,1.117,21.792,30.1,65.193,19.609,0.116,1885.759,89.98,6.9,2.183,243.24,743.014,11,1200,10,9.49,8,80.2,24.5,68.5,3.34,91.15,291.84,1.061,9.54,90.973,1.092,259.533,Hard,0,2,10,5,Target R2 synthetic data - leakage-free process relationship
27/10/2024,A,1963.0,1.085,21.303,30.0,64.083,19.244,0.108,1898.767,90.34,6.73,2.059,254.06,727.23,12,1200,11,9.62,8,72.7,26.7,65.9,3.26,89.98,243.24,1.117,9.49,90.748,1.099,258.775,Normal,1,0,10,6,Target R2 synthetic data - leakage-free process relationship
27/10/2024,B,1947.0,1.081,21.052,29.3,65.21,19.127,0.102,1882.027,90.86,6.06,1.925,285.13,712.314,10,1200,10,9.7,7,78.5,23.4,61.9,3.35,90.34,254.06,1.085,9.62,90.678,1.098,259.854,Soft,2,1,10,6,Target R2 synthetic data - leakage-free process relationship
27/10/2024,C,1941.0,1.079,20.938,29.9,63.817,19.063,0.1,1877.288,91.04,6.39,1.875,251.63,725.266,10,1200,12,9.52,8,80.1,25.1,63.5,3.29,90.86,285.13,1.081,9.7,90.66,1.094,264.917,Normal,1,2,10,6,Target R2 synthetic data - leakage-free process relationship
28/10/2024,A,1888.0,1.101,20.776,30.3,62.53,18.936,0.101,1825.282,91.15,6.29,1.839,229.22,728.772,11,1200,11,9.65,8,78.3,25.3,63.8,3.31,91.04,251.63,1.079,9.52,90.826,1.098,264.504,Normal,1,0,10,0,Target R2 synthetic data - leakage-free process relationship
28/10/2024,B,1899.0,1.156,21.956,29.9,67.035,20.054,0.104,1831.867,91.34,7.18,1.902,266.62,727.372,11,1200,10,9.64,7,81.6,24.7,67.8,3.53,91.15,229.22,1.101,9.65,90.84,1.088,257.124,Normal,1,1,10,0,Target R2 synthetic data - leakage-free process relationship
28/10/2024,C,1852.0,1.116,20.661,29.7,63.516,18.889,0.099,1788.005,91.42,6.73,1.772,262.09,726.78,10,1200,11,9.64,7,77.6,23.8,64.7,3.43,91.34,266.62,1.156,9.64,90.835,1.097,260.248,Normal,1,2,10,0,Target R2 synthetic data - leakage-free process relationship
