Date,Shift,Ore Milled (MT),Head Grade (%Cu),COPPER IN HEAD (MT),Concentrate Grade (%Cu),Concentrate Production (MT),COPPER IN CONCENTRATE (MT),Tails Grade (%Cu),TAILINGS (MT),Recovery (%),Insoluble in Concentrate (%),COPPER IN TAILINGS (MT),Feed Rate (MT/h),Grinding kWh,Lime Bags,T Reagent (cc),Pine Oil (cc),Flotation pH,Milling Running Hours,Prev_Recovery (%),Prev_Feed Rate (MT/h),Prev_Head Grade (%Cu),Prev_Flotation pH,Roll7_Recovery (%),Roll7_Head Grade (%Cu),Roll7_Feed Rate (MT/h),Cu_Recovery_Efficiency,Estimated Feed Condition,Feed_Condition_Num,Shift_Num,Month,Day_of_Week,Source
16/10/2024,C,1656,1.085,17.968,30.3,53.624,16.248,0.097,1602.376,90.43,5.93,1.72,238.13,729.476,10,1200,12,9.21,7,91.38,235.98,1.043,9.6,90.211,1.043,256.06,90.427,Normal,1,2,10,2,Synthetic historical data (statistically generated)
17/10/2024,A,1861,1.075,20.006,29.5,61.441,18.125,0.107,1799.559,90.6,6.97,1.881,262.48,728.596,10,1200,12,9.23,7,90.43,238.13,1.085,9.21,90.227,1.051,252.486,90.598,Soft,0,0,10,3,Synthetic historical data (statistically generated)
17/10/2024,B,1721,0.966,16.625,30.1,50.017,15.055,0.087,1670.983,90.56,5.81,1.57,219.34,721.659,11,1200,12,9.75,8,90.6,262.48,1.075,9.23,90.513,1.046,249.854,90.556,Normal,1,1,10,3,Synthetic historical data (statistically generated)
17/10/2024,C,1804,1.139,20.548,29.5,62.668,18.487,0.118,1741.332,89.97,7.65,2.061,259.23,727.345,12,1200,11,9.03,7,90.56,219.34,0.966,9.75,90.397,1.064,252.586,89.97,Normal,1,2,10,3,Synthetic historical data (statistically generated)
18/10/2024,A,1696,1.094,18.554,30.6,54.111,16.558,0.129,1641.889,89.24,6.68,1.996,241.86,729.161,10,1200,12,9.44,7,89.97,259.23,1.139,9.03,90.251,1.066,248.857,89.242,Normal,1,0,10,4,Synthetic historical data (statistically generated)
18/10/2024,B,1804,1.053,18.996,29.6,58.267,17.247,0.094,1745.733,90.79,7.93,1.749,222.63,728.136,12,1200,10,9.45,8,89.24,241.86,1.094,9.44,90.424,1.065,239.95,90.793,Normal,1,1,10,4,Synthetic historical data (statistically generated)
18/10/2024,C,1776,1.103,19.589,29.1,60.162,17.507,0.112,1715.838,89.37,5.83,2.082,216.06,726.226,11,1200,12,9.44,8,90.79,222.63,1.053,9.45,90.137,1.074,237.104,89.372,Normal,1,2,10,4,Synthetic historical data (statistically generated)
19/10/2024,A,2078,1.029,21.383,30.7,62.72,19.255,0.094,2015.28,90.05,7.87,2.128,300.59,720.137,11,1200,10,9.22,7,89.37,216.06,1.103,9.44,90.083,1.066,246.027,90.048,Normal,1,0,10,5,Synthetic historical data (statistically generated)
19/10/2024,B,1668,1.148,19.149,30.8,56.873,17.517,0.098,1611.127,91.48,7.7,1.632,212.69,722.437,12,1200,10,9.38,8,90.05,300.59,1.029,9.22,90.209,1.076,238.914,91.477,Normal,1,1,10,5,Synthetic historical data (statistically generated)
19/10/2024,C,1585,1.057,16.753,30.0,51.093,15.328,0.084,1533.907,91.49,6.85,1.425,201.94,722.986,12,1200,12,10.0,8,91.48,212.69,1.148,9.38,90.341,1.089,236.429,91.494,Normal,1,2,10,5,Synthetic historical data (statistically generated)
20/10/2024,A,1780,1.027,18.281,29.9,55.097,16.474,0.11,1724.903,90.12,6.45,1.807,261.62,723.83,11,1200,10,9.32,7,91.49,201.94,1.057,10.0,90.363,1.073,236.77,90.115,Normal,1,0,10,6,Synthetic historical data (statistically generated)
20/10/2024,B,1680,0.97,16.296,29.9,48.582,14.526,0.11,1631.418,89.14,6.52,1.77,240.03,728.697,11,1200,10,9.53,7,90.12,261.62,1.027,9.32,90.349,1.055,236.509,89.138,Hard,2,1,10,6,Synthetic historical data (statistically generated)
20/10/2024,C,1774,1.084,19.23,30.3,57.393,17.39,0.112,1716.607,90.43,6.72,1.84,223.74,728.523,12,1200,11,9.95,8,89.14,240.03,0.97,9.53,90.297,1.06,236.667,90.432,Normal,1,2,10,6,Synthetic historical data (statistically generated)
21/10/2024,A,1847,1.015,18.747,29.9,56.261,16.822,0.108,1790.739,89.73,7.76,1.925,267.76,720.984,12,1200,12,9.87,7,90.43,223.74,1.084,9.95,90.349,1.047,244.053,89.732,Normal,1,0,10,0,Synthetic historical data (statistically generated)
21/10/2024,B,2036,1.121,22.824,30.2,69.467,20.979,0.086,1966.533,91.92,7.78,1.845,255.51,721.7,10,1200,12,9.87,8,89.73,267.76,1.015,9.87,90.616,1.06,237.613,91.916,Soft,0,1,10,0,Synthetic historical data (statistically generated)
21/10/2024,C,1816,1.042,18.923,29.6,57.926,17.146,0.107,1758.074,90.61,7.23,1.777,232.46,721.58,11,1200,11,9.99,8,91.92,255.51,1.121,9.87,90.491,1.045,240.437,90.609,Normal,1,2,10,0,Synthetic historical data (statistically generated)
22/10/2024,A,1782,1.111,19.798,30.3,59.04,17.889,0.102,1722.96,90.36,6.91,1.909,223.71,729.927,11,1200,10,9.98,8,90.61,232.46,1.042,9.99,90.33,1.053,243.547,90.358,Normal,1,0,10,1,Synthetic historical data (statistically generated)
22/10/2024,B,1848,0.976,18.036,29.5,54.481,16.072,0.112,1793.519,89.11,7.42,1.964,234.82,728.019,10,1200,12,9.19,8,90.36,223.71,1.111,9.98,90.186,1.046,239.719,89.111,Normal,1,1,10,1,Synthetic historical data (statistically generated)
22/10/2024,C,1683,0.994,16.729,29.4,51.221,15.059,0.092,1631.779,90.02,6.85,1.67,204.48,721.314,11,1200,11,9.75,8,89.11,234.82,0.976,9.19,90.311,1.049,234.64,90.017,Normal,1,2,10,1,Synthetic historical data (statistically generated)
23/10/2024,A,1531,0.968,14.82,29.3,44.133,12.931,0.135,1486.867,87.25,7.65,1.889,196.74,728.704,10,1200,11,9.96,8,90.02,204.48,0.994,9.75,89.857,1.032,230.783,87.254,Hard,2,0,10,2,Synthetic historical data (statistically generated)
23/10/2024,B,2035,1.103,22.446,30.2,66.646,20.127,0.121,1968.354,89.67,7.85,2.319,246.96,724.548,12,1200,12,9.67,8,87.25,196.74,0.968,9.96,89.849,1.045,227.811,89.669,Normal,1,1,10,2,Synthetic historical data (statistically generated)
23/10/2024,C,1812,1.014,18.374,29.2,56.298,16.439,0.097,1755.702,89.47,5.59,1.935,261.15,724.643,12,1200,11,9.65,7,89.67,246.96,1.103,9.67,89.499,1.03,228.617,89.469,Normal,1,2,10,2,Synthetic historical data (statistically generated)
24/10/2024,A,1327,0.939,12.461,29.3,37.147,10.884,0.117,1289.853,87.35,5.75,1.577,167.57,729.46,11,1200,12,9.74,8,89.47,261.15,1.014,9.65,89.033,1.015,219.347,87.345,Hard,2,0,10,3,Synthetic historical data (statistically generated)
24/10/2024,B,1876,1.068,20.036,31.0,58.4,18.104,0.1,1817.6,90.36,6.5,1.932,233.72,723.627,12,1200,11,9.54,8,87.35,167.57,0.939,9.74,89.033,1.009,220.777,90.357,Normal,1,1,10,3,Synthetic historical data (statistically generated)
24/10/2024,C,1583,1.068,16.906,30.5,49.977,15.243,0.099,1533.023,90.16,6.04,1.663,220.04,729.888,12,1200,10,9.07,7,90.36,233.72,1.068,9.54,89.183,1.022,218.666,90.163,Normal,1,2,10,3,Synthetic historical data (statistically generated)
25/10/2024,A,1778,1.017,18.082,29.3,55.727,16.328,0.096,1722.273,90.3,7.47,1.754,261.43,727.985,10,1200,12,9.87,7,90.16,220.04,1.068,9.07,89.223,1.025,226.801,90.3,Normal,1,0,10,4,Synthetic historical data (statistically generated)
25/10/2024,B,1717,1.023,17.565,30.0,52.893,15.868,0.108,1664.107,90.34,5.61,1.697,248.9,727.78,12,1200,12,9.11,7,90.3,261.43,1.017,9.87,89.664,1.033,234.253,90.339,Normal,1,1,10,4,Synthetic historical data (statistically generated)
25/10/2024,C,1772,1.089,19.297,29.9,58.686,17.547,0.107,1713.314,90.93,6.31,1.75,260.72,724.263,10,1200,11,9.71,7,90.34,248.9,1.023,9.11,89.844,1.031,236.219,90.931,Normal,1,2,10,4,Synthetic historical data (statistically generated)
26/10/2024,A,1592,1.066,16.971,30.4,49.796,15.138,0.123,1542.204,89.2,7.13,1.833,204.91,724.537,12,1200,11,9.1,8,90.93,260.72,1.089,9.71,89.806,1.039,228.184,89.199,Normal,1,0,10,5,Synthetic historical data (statistically generated)
26/10/2024,B,1864,1.01,18.826,29.5,57.468,16.953,0.11,1806.532,90.05,7.22,1.873,237.58,727.296,11,1200,11,9.31,8,89.2,204.91,1.066,9.1,90.191,1.049,238.186,90.051,Normal,1,1,10,5,Synthetic historical data (statistically generated)
26/10/2024,C,1567,1.012,15.858,29.2,49.116,14.342,0.094,1517.884,90.44,7.16,1.516,199.54,725.865,12,1200,12,9.33,8,90.05,237.58,1.01,9.31,90.203,1.041,233.303,90.44,Normal,1,2,10,5,Synthetic historical data (statistically generated)
27/10/2024,A,2081,1.074,22.35,29.7,67.916,20.171,0.106,2013.084,90.25,5.79,2.179,253.94,721.547,11,1200,10,9.85,8,90.44,199.54,1.012,9.33,90.216,1.042,238.146,90.251,Normal,1,0,10,6,Synthetic historical data (statistically generated)
27/10/2024,B,1611,1.059,17.06,30.5,50.036,15.261,0.121,1560.964,89.45,6.38,1.799,231.65,726.935,10,1200,10,9.27,7,90.25,253.94,1.074,9.85,90.094,1.048,233.891,89.455,Normal,1,1,10,6,Synthetic historical data (statistically generated)
27/10/2024,C,1827,1.07,19.549,29.6,59.743,17.684,0.098,1767.257,90.46,7.85,1.865,254.61,723.762,11,1200,11,9.16,7,89.45,231.65,1.059,9.27,90.111,1.054,234.707,90.46,Normal,1,2,10,6,Synthetic historical data (statistically generated)
28/10/2024,A,1982,1.03,20.415,30.5,60.0,18.3,0.098,1922.0,89.64,6.57,2.115,279.27,724.857,11,1200,11,9.27,7,90.46,254.61,1.07,9.16,89.927,1.046,237.357,89.64,Normal,1,0,10,0,Synthetic historical data (statistically generated)
28/10/2024,B,1894,1.002,18.978,29.6,57.703,17.08,0.093,1836.297,90.0,6.74,1.898,243.63,722.044,10,1200,10,9.76,8,89.64,279.27,1.03,9.27,90.041,1.037,242.889,89.999,Normal,1,1,10,0,Synthetic historical data (statistically generated)
28/10/2024,C,1717,1.092,18.75,30.7,55.932,17.171,0.093,1661.068,91.58,6.93,1.579,209.11,720.423,10,1200,11,9.92,8,90.0,243.63,1.002,9.76,90.26,1.048,238.821,91.579,Normal,1,2,10,0,Synthetic historical data (statistically generated)
29/10/2024,A,1882,1.052,19.799,29.8,59.906,17.852,0.095,1822.094,90.17,7.68,1.947,239.94,720.881,10,1200,10,9.44,8,91.58,209.11,1.092,9.92,90.221,1.054,244.593,90.166,Normal,1,0,10,1,Synthetic historical data (statistically generated)
29/10/2024,B,1840,1.063,19.559,29.3,60.392,17.695,0.095,1779.608,90.47,7.01,1.864,269.26,727.274,12,1200,10,9.24,7,90.17,239.94,1.052,9.44,90.253,1.053,246.781,90.47,Normal,1,1,10,1,Synthetic historical data (statistically generated)
29/10/2024,C,1912,1.055,20.172,30.3,59.584,18.054,0.103,1852.416,89.5,5.67,2.118,241.6,726.43,12,1200,11,9.86,8,90.47,269.26,1.063,9.24,90.26,1.052,248.203,89.5,Normal,1,2,10,1,Synthetic historical data (statistically generated)
30/10/2024,A,1860,0.979,18.209,31.0,53.094,16.459,0.086,1806.906,90.39,6.99,1.75,231.97,723.687,11,1200,10,9.64,8,89.5,241.6,1.055,9.86,90.25,1.039,244.969,90.389,Normal,1,0,10,2,Synthetic historical data (statistically generated)
30/10/2024,B,1871,1.095,20.487,30.8,59.659,18.375,0.109,1811.341,89.69,7.29,2.112,264.42,721.509,10,1200,11,9.1,7,90.39,231.97,0.979,9.64,90.257,1.048,242.847,89.691,Normal,1,1,10,2,Synthetic historical data (statistically generated)
30/10/2024,C,1643,1.066,17.514,30.6,51.84,15.863,0.103,1591.16,90.57,5.66,1.651,232.8,723.874,11,1200,12,9.6,7,89.69,264.42,1.095,9.1,90.339,1.057,241.3,90.573,Normal,1,2,10,2,Synthetic historical data (statistically generated)
31/10/2024,A,1891,1.036,19.591,30.4,57.556,17.497,0.108,1833.444,89.31,6.99,2.094,267.44,721.414,11,1200,11,9.97,7,90.57,232.8,1.066,9.6,90.014,1.049,249.633,89.311,Normal,1,0,10,3,Synthetic historical data (statistically generated)
31/10/2024,B,1495,0.925,13.829,29.4,40.282,11.843,0.145,1454.718,85.64,6.72,1.986,215.44,723.618,11,1200,11,9.18,7,89.31,267.44,1.036,9.97,89.367,1.031,246.133,85.639,Hard,2,1,10,3,Synthetic historical data (statistically generated)
31/10/2024,C,1731,1.043,18.054,29.4,54.973,16.162,0.114,1676.027,89.52,7.06,1.892,249.69,726.18,12,1200,11,9.15,7,85.64,215.44,0.925,9.18,89.231,1.028,243.337,89.52,Normal,1,2,10,3,Synthetic historical data (statistically generated)
01/11/2024,A,1843,1.027,18.928,30.9,55.631,17.19,0.1,1787.369,90.82,7.76,1.738,231.9,727.838,10,1200,12,9.24,8,89.52,249.69,1.043,9.15,89.42,1.024,241.951,90.818,Normal,1,0,11,4,Synthetic historical data (statistically generated)
01/11/2024,B,1784,1.049,18.714,29.5,57.305,16.905,0.104,1726.695,90.33,7.69,1.809,223.04,721.621,10,1200,12,9.14,8,90.82,231.9,1.027,9.24,89.411,1.034,240.676,90.333,Normal,1,1,11,4,Synthetic historical data (statistically generated)
01/11/2024,C,1738,1.13,19.639,29.4,60.228,17.707,0.11,1677.772,90.16,6.37,1.932,244.9,721.473,11,1200,10,9.95,7,90.33,223.04,1.049,9.14,89.479,1.039,237.887,90.162,Normal,1,2,11,4,Synthetic historical data (statistically generated)
02/11/2024,A,1972,1.083,21.357,29.3,68.263,20.001,0.08,1903.737,93.65,7.79,1.356,242.43,720.991,12,1200,12,9.34,8,90.16,244.9,1.13,9.95,89.919,1.042,239.263,93.651,Soft,0,0,11,5,Synthetic historical data (statistically generated)
02/11/2024,B,1861,1.047,19.485,29.2,60.288,17.604,0.097,1800.712,90.35,6.25,1.881,258.18,721.495,12,1200,12,9.53,7,93.65,242.43,1.083,9.34,90.067,1.043,237.94,90.346,Normal,1,1,11,5,Synthetic historical data (statistically generated)
02/11/2024,C,1980,1.067,21.127,29.9,64.284,19.221,0.098,1915.716,90.98,6.1,1.906,248.94,725.154,10,1200,12,9.14,8,90.35,258.18,1.047,9.53,90.83,1.064,242.726,90.978,Soft,0,2,11,5,Synthetic historical data (statistically generated)
03/11/2024,A,1939,1.003,19.448,29.7,59.037,17.534,0.09,1879.963,90.16,6.1,1.914,275.18,726.357,11,1200,11,9.75,7,90.98,248.94,1.067,9.14,90.921,1.058,246.367,90.158,Normal,1,0,11,6,Synthetic historical data (statistically generated)
